title;singer;album;producer;distributor;year_month;is_popular;external_factors;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;release_date;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow
#첫사랑;bol4;#첫사랑;쇼파르뮤직, 딩고뮤직;카카오 m;201801-201802-201803;1;0;1;1;0;False;4tKN17Kw29gzlnZwMaAtZN;single;2018-01-10;207495;False;0.605;0.568;0.6459999999999999;0.0;0.131;-3.418;0.0406;0.395;77.92699999999999;4k5fFEYgkWYrYvtOK3zVBl;0;0
#화이트 스타일 (feat. 김호연 of 달 좋은밤);kisum;show off;스케치;카카오 m;201507;0;0;0;0;0;True;1LrcLQ3pTFz7yafs0a2sds;single;2015-06-17;191805;False;0.059000000000000004;0.696;0.93;0.0;0.19399999999999998;-3.5;0.172;0.825;91.96;1CArfopvfCxakFJHup55FW;0;0
%%(응응);apink;percent;플레이엠엔터테인먼트;카카오 m;201901-201902;1;0;0;0;0;False;4SpQDJz1JiRT2mHxvyqN9K;single;2019-01-07;208104;False;0.294;0.647;0.855;0.0;0.13699999999999998;-2.944;0.037000000000000005;0.6829999999999999;144.86700000000002;2uWcrwgWmZcQc3IPBs3tfU;0;0
00_00 (zero o`clock);bts;map of the soul _ 7;빅히트 엔터테인먼트;dreamus;202003-202004-202005;1;0;0;0;0;False;4AlihYDqxXshKhvh5tnMfP;album;2020-02-21;250295;False;0.0802;0.5660000000000001;0.5479999999999999;0.0;0.11;-6.456;0.0579;0.196;157.999;3Nrfpe0tUJi4K4DXYWgMUX;0;0
0330;u-kiss;bran new kiss (ep);nh emg;카카오 m;201105;0;0;0;0;0;False;7HKDOS7RKlnUkluAY23oga;single;2011-03-30;209188;False;0.142;0.698;0.6409999999999999;0.0;0.0823;-4.763;0.0705;0.496;86.02799999999999;2GB76Lm833jVI5kLvKEB7Z;0;0
1 of 1;shinee;1 of 1 - the 5th album;sm entertainment;지니뮤직;201610;1;0;0;0;0;False;6UmRhJatcth1KF76r5ucvZ;album;2016-09-29;203884;False;0.0635;0.6940000000000001;0.879;0.0;0.0478;-3.765;0.0515;0.84;108.045;2hRQKC0gqlZGPrmUKbcchR;0;0
1,2,3,4 (원,투,쓰리,포);lee hi;1,2,3,4 (원,투,쓰리,포);yg entertainment;지니뮤직;201211-201212;1;0;1;1;1;False;1AhqxJYPxp0xBFPBPYYLZn;album;2018-03-21;214053;False;0.37200000000000005;0.905;0.65;0.0;0.087;-3.98;0.0478;0.956;115.977;7cVZApDoQZpS447nHTsNqu;0;0
1-4-3 (i love you) (feat. f(amber));henry;the 1st digital single 1-4-3;sm entertainment;지니뮤직;201308;0;0;0;0;0;True;2h0XaZFu9IIV7Ssms7bKtX;single;2013-06-07;205680;False;0.11800000000000001;0.6579999999999999;0.879;0.0;0.10400000000000001;-3.2689999999999997;0.065;0.905;124.99;1sjw4xq2pAWy5Vdgba5QAt;0;0
100%;mblaq;mblaq 4th mini album `blaq%ver.`;j.tune camp;stone music entertainment;201203;0;0;0;0;0;False;5TRbHQCfWe2sB4zwgrpCVI;album;2012-03-21;212598;False;0.0182;0.633;0.9309999999999999;0.0;0.223;-3.452;0.0703;0.5379999999999999;127.059;14f1WN9TUDVBK4sHUStmLG;0;0
1004 (angel);b.a.p;first sensibility;ts엔터테인먼트;카카오 m;201402;1;0;0;0;0;False;3BBOgNp88aV5wV6hJjyS01;album;2018-11-28;207333;False;0.278;0.615;0.8740000000000001;0.0;0.183;-3.6460000000000004;0.0381;0.767;126.98;6kxCoNfY6U1eP0Yc88phvk;0;0
10월의 날씨;10cm;3.1;매직스트로베리사운드;포크라노스;201511;0;0;0;0;0;False;3lTJ5mNFRjawVcNQVAIboM;single;2015-10-10;255442;False;0.8640000000000001;0.57;0.155;0.0;0.107;-10.011000000000001;0.0315;0.381;135.764;6zn0ihyAApAYV51zpXxdEp;0;0
11_11;taeyeon;11_11;sm entertainment;지니뮤직;201611-201612;1;0;1;1;0;False;67QGnT1Vdfuuy4HkLTUVjj;album;2017-04-05;223451;False;0.677;0.445;0.528;0.0;0.155;-7.242999999999999;0.0744;0.511;203.155;3qNVuliS40BLgXGxhdBdqu;0;0
12시 30분;beast;time;큐브엔터테인먼트;universal music;201410-201411-201412;1;0;2;0;0;False;3PT9IsEzmCz2ZFVUx1gdNn;single;2014-10-20;233766;False;0.408;0.636;0.782;0.0;0.0599;-2.779;0.0312;0.557;99.976;1Pr9gT0veB2tgcisQeIGoC;0;0
12월의 기적 (miracles in december);exo;겨울 스페셜 앨범 `12월의 기적 (miracles in decemb...;sm entertainment;지니뮤직;201312;1;0;1;1;0;False;7HrCnwDvbtCKSZtpNDmII9;single;2013-12-09;273287;False;0.677;0.5870000000000001;0.314;0.0;0.13699999999999998;-7.62;0.0313;0.21100000000000002;119.79700000000001;3cjEqqelV9zb4BYE3qDQ4O;0;0
134340;bts;love yourself 轉 `tear`;빅히트 엔터테인먼트;dreamus;201806;0;0;0;0;0;False;38td8VabuKlQt72Q2VnhbO;album;2018-05-18;230063;False;0.153;0.664;0.688;9.14e-05;0.17300000000000001;-6.466;0.0543;0.65;106.022;3Nrfpe0tUJi4K4DXYWgMUX;0;0
1440;huh gak;1집 little giant;플레이엠엔터테인먼트;stone music entertainment;201302-201303;1;0;1;0;0;False;7Dr12gOF1sHytIKT1jY64Z;album;2013-02-05;227944;False;0.531;0.6759999999999999;0.534;0.0;0.10300000000000001;-5.462000000000001;0.0289;0.555;99.029;49vOeJAPxAz6YmVZPNM7ys;0;0
160 (feat. 이수근);eun jiwon-sep-lee soo keun;platonic;지와이엠엔터테인먼트;카카오 m;201002;0;0;0;0;0;True;4ab04tKlJmvGrtj8jSZO98;album;2009-12-10;139426;False;0.009859999999999999;0.797;0.732;3.53e-05;0.0938;-5.039;0.0999;0.792;160.114;6dTCGU3ZXmHV6roc3mP7Q5-sep-6IxC9ovm6zy6WhJcUUL1vI;0;0
180도;ben;180˚;메이저나인;지니뮤직;201812-201901-201902-201903-201904-201905;1;0;3;2;0;False;0O5bo4CqoUcXGyRPoeTHSB;single;2018-12-07;229187;False;0.682;0.535;0.513;0.0;0.0789;-5.079;0.0319;0.17300000000000001;133.481;0bDdOBGVCFVt0f8N9ldW1k;0;0
1cm의 자존심;mamamoo;1cm의 자존심;rbw, stone music entertainment;stone music entertainment;201602-201603;1;0;0;0;0;False;05d6pLPZ1DmRfgc5IfdPnx;album;2016-02-26;184362;False;0.0944;0.733;0.684;0.0;0.14300000000000002;-3.99;0.41600000000000004;0.757;200.308;0XATRDCYuuGhk0oE7C0o5G;0;0
1llusion;dok2;1llusion;illionaire records;stone music entertainment;201606;1;0;0;0;0;False;17jWB9tfanpXJGWJ8FSiEe;single;2016-05-21;170490;False;0.233;0.7909999999999999;0.6579999999999999;0.0;0.11800000000000001;-6.886;0.355;0.584;96.92399999999999;0rW6fVd3yuW2CF2sLYWQtE;0;0
1도 없어;apink;one & six;플레이엠엔터테인먼트;카카오 m;201807-201808-201809;1;0;2;1;0;False;3lSM3Wn3RJbzAAHzJ3sX1f;single;2018-07-02;199402;False;0.128;0.594;0.81;0.0;0.0324;-2.083;0.0531;0.777;123.75200000000001;2uWcrwgWmZcQc3IPBs3tfU;0;0
