post,date,artist,song_name,korean_name,director,video,type,release
,2020-07-13,EXO-SC,1 Billion Views feat. MOON,,,Youtube,Boy,Major
Post,2020-07-13,GFRIEND,Apple,애플,LUMPENS,Youtube,Girl,Major
,2020-07-13,XRO,Chuckle,껄렁,,Youtube,Boy,Major
,2020-07-12,GAVY NJ,X-Girlfriend,전 여친,,Youtube,Girl,Major
,2020-07-10,BIBI,I'm Good at Goodbyes,안녕히,,Youtube,Girl Solo,Major
,2020-07-10,Pierce,Winner,위너,,Youtube,Girl,Major
,2020-07-09,Huh Chanmi,I'm fine thanks,,,Youtube,Girl Solo,Special
,2020-07-09,EXO-SC,On Me (Sehun Solo),,,Youtube,Boy,Minor
,2020-07-09,Solji (EXID),Rains Again,오늘따라 비가 와서 그런가 봐,,Youtube,Girl Solo,Major
,2020-07-08,EXO-SC,Nothin (Chanyeol Solo),,,Youtube,Boy,Minor
,2020-07-07,Great Guys,Run,내 심장은 널 향해 뛰어,,Youtube,Boy,Major
,2020-07-07,EXO-SC,Telephone feat. 10CM,,,Youtube,Boy,Minor
,2020-07-07,(G)I-DLE,I'm The Trend,,,Youtube,Girl,Special
,2020-07-06,DONGKIZ I:KAN,Y.O.U,,,Youtube,Boy,Major
Post,2020-07-06,Red Velvet - IRENE SEULGI,Monster,,,Youtube,Girl,Major
,2020-07-06,F.Cuz,Shine,,,Youtube,Boy,Major
,2020-07-06,Zico,Cartoon,만화영화,,Youtube,Boy Solo,Major
,2020-07-06,Chungha,Play feat. Changmo,,,Youtube,Girl Solo,Major
,2020-07-05,eaJ,Pacman,,,Youtube,Boy Solo,Major
,2020-07-04,Great Guys,In Summer,,,Youtube,Boy,Major
,2020-07-01,Zico,Summer Hate feat. Rain,,,Youtube,Boy Solo,Major
,2020-07-01,Verivery,Thunder,,,Youtube,Boy,Major
,2020-06-30,Lee Jinhyuk,Bedlam,난장판,,Youtube,Boy Solo,Major
,2020-06-29,AB6IX,The Answer,답을 줘,,Youtube,Boy,Major
Post,2020-06-29,Weeekly,Tag Me (@Me),태그미,,Youtube,Girl,Major
Post,2020-06-29,Pentagon,Basquiat (Performance Video),바스키아,,Youtube,Boy,Special
,2020-06-29,3YE,Yessir,,,Youtube,Girl,Major
,2020-06-29,Sunmi,pporappippam,보라빛 밤,,Youtube,Girl Solo,Major
,2020-06-29,Hwasa,Maria,마리아,,Youtube,Girl Solo,Major
,2020-06-29,WOODZ,Love Me Harder,,,Youtube,Boy Solo,Major
,2020-06-28,Stray Kids,Blueprint,청사진,,Youtube,Boy,Minor
,2020-06-28,N.Flying,Flower Fantasy,,,Youtube,Boy,Minor
,2020-06-28,TXT,Eternally,,,Youtube,Boy,Special
Post,2020-06-26,Blackpink,How You Like That,하우 유 라이크 댓,,Youtube,Girl,Major
Post,2020-06-26,BTS,Stay Gold,,,Youtube,Boy,Japanese
,2020-06-25,Nada,My Body,내 몸,,Youtube,Girl Solo,Major
,2020-06-22,Golden Child,ONE(Lucid Dream),,,Youtube,Boy,Major
,2020-06-22,Seventeen,Left & Right,렢앤롸잇,Digipedi,Youtube,Boy,Major
,2020-06-21,VOISPER,The Day,그날,,Youtube,Boy,Major
Post,2020-06-18,Twice,Fanfare,팡파레,,Youtube,Girl,Japanese
,2020-06-18,Weki Meki,Oopsy,웁시,,Youtube,Girl,Major
,2020-06-17,Cravity,Cloud 9,,,Youtube,Boy,Major
,2020-06-17,D1CE,Draw You,너를 그린다,,Youtube,Boy,Major
Post,2020-06-17,Stray Kids,God's Menu,神메뉴,,Youtube,Boy,Major
,2020-06-17,N.O.M,I'm Not But,,,Youtube,Boy,Major
,2020-06-16,NATURE,Girls,어린애,,Youtube,Girl,Major
,2020-06-16,Baek Ayeon,Looking for Love,썸 타긴 뭘 타,,Youtube,Girl Solo,Major
,2020-06-15,Hi Cutie,Try Again,,,Youtube,Girl,Major
,2020-06-15,IZ*One,Secret Story of the Swan,환상동화,,Youtube,Girl,Major
,2020-06-15,Heize,Your name feat. ASH ISLAND,너의 이름은,,Youtube,Girl Solo,Major
,2020-06-12,Jea,Greedyy feat. Moonbyul,,,Youtube,Girl Solo,Major
,2020-06-11,Seventeen,My My,,,Youtube,Boy,Minor
,2020-06-11,MOMOLAND,Starry Night,,,Youtube,Girl,Special
,2020-06-10,DIA,Hug U,감싸줄게요,,Youtube,Girl,Major
,2020-06-10,Heize,Lyricist / Things are going well,작사가 / 일이 너무 잘 돼,,Youtube,Girl Solo,Major
,2020-06-09,E'Last,Swear,기사의 맹세,,Youtube,Boy,Major
,2020-06-09,WJSN,Butterfly,버터플라이,HIGHQUALITYFISH,Youtube,Girl,Major
,2020-06-09,Chungha,Be Yourself,,,Youtube,Girl Solo,CF
,2020-06-08,Seo Eunkwang,No One Knows,아무도 모른다,,Youtube,Boy Solo,Major
,2020-06-08,Ha Sungwoon,Get Ready,,August Frogs,Youtube,Boy Solo,Major
,2020-06-08,Super Junior-K.R.Y,When We Were Us,푸르게 빛나던 우리의 계절,,Youtube,Boy,Major
,2020-06-07,N.Flying,Oh really.,아 진짜요.,,Youtube,Boy,Major
,2020-06-05,Bang Yedam,Wayo,왜요,,Youtube,Boy Solo,Major
,2020-06-03,TXT,PUMA,동물원을 빠져나온 퓨마,LUMPENS,Youtube,Boy,Minor
,2020-06-03,GIDONGDAE,Party Like This,재밌는 놀이,,Youtube,Boy,Major
,2020-06-02,VICTON,Mayday,메이데이,,Youtube,Boy,Major
,2020-06-01,TWICE,More & More,모얼앤모얼,,Youtube,Girl,Major
,2020-05-31,With Woollim,Relay,,,Youtube,Co-ed,Special
,2020-05-29,Moonbyul,Absence,부재,,Youtube,Girl Solo,Special
,2020-05-28,MOMOLAND,Tiki Taka,티키타카,,Youtube,Girl,CF
,2020-05-27,Roy Kim,Linger On,살아가는 거야,,Youtube,Boy Solo,Major
,2020-05-26,Onewe,End of Spring,나의 계절 봄은 끝났다,,Youtube,Boy,Major
Post,2020-05-26,MONSTA X,Fantasia,판타지아,,Youtube,Boy,Major
,2020-05-25,Park Jihoon,Wing,,,Youtube,Boy Solo,Major
,2020-05-25,DKB,Still,오늘도 여전히,,Youtube,Boy,Major
,2020-05-25,Baekhyun,Candy,캔디,,Youtube,Boy Solo,Major
,2020-05-24,Minzy,Lovely,,,Youtube,Girl Solo,Major
,2020-05-23,KEEMBO,Scandalous,,,Youtube,Girl,Major
,2020-05-22,Agust D,Daechwita,대취타,,Youtube,Boy Solo,Major
,2020-05-21,Yubin,yaya (Me Time),넵넵,,Youtube,Girl Solo,Major
,2020-05-21,OnlyOneOf,Angel (prod. GRAY),,,Youtube,Boy,Major
,2020-05-21,D-Crunch,Pierrot,,,Youtube,Boy,Major
,2020-05-20,Ryu Sujeong,Tiger Eyes,,,Youtube,Girl Solo,Major
,2020-05-20,Crush,Mayday feat. Joy (Red Velvet),자나깨나,,Youtube,Boy Solo,Major
Post,2020-05-19,NCT 127,Punch,,,Youtube,Boy,Major
Post,2020-05-19,SECRET NUMBER,Who Dis?,,,Youtube,Girl,Major
,2020-05-18,REDSQUARE,ColorFull,,,Youtube,Girl,Major
,2020-05-18,N.Flying,Amnesia,,,Youtube,Boy,Japanese
Post,2020-05-18,TXT,Can't You See Me?,"세계가 불타버린 밤, 우린...",,Youtube,Boy,Major
,2020-05-15,woo!ah!,woo!ah!,우아,,Youtube,Girl,Major
,2020-05-15,Oh My Girl,Dolphin,,,Youtube,Girl,Special
,2020-05-14,UNVS,Give You Up,,,Youtube,Boy,Major
,2020-05-13,Busters,Paeonia,피오니아,,Youtube,Girl,Major
,2020-05-13,BOL4,Hug,품,,Youtube,Girl,Major
,2020-05-12,BVNDIT,Jungle,정글,,Youtube,Girl,Major
,2020-05-12,"Baek Z Young, Ong Seongwu",didn't say anything,아무런 말들도,,Youtube,Co-ed,Special
Post,2020-05-11,NU'EST,I'm In Trouble,,,Youtube,Boy,Major
,2020-05-11,DAY6,Zombie,,,Youtube,Boy,Major
,2020-05-07,Moon Jongup,Headache feat. Yunhway,개화,,Youtube,Boy Solo,Major
,2020-05-07,Natty,Nineteen,,,Youtube,Girl Solo,Major
,2020-05-07,BOL4,Leo feat. Baekhyun,,,Youtube,Girl,Major
,2020-05-06,IU,eight feat. SUGA,에잇,,Youtube,Girl Solo,Major
,2020-05-05,2Z,Doctor,,,Youtube,Boy,Major
Post,2020-05-04,ASTRO,Knock,널 찾아가,,Youtube,Boy,Major
,2020-05-04,FANATICS,VAVI GIRL,,,Youtube,Girl,Major
,2020-05-04,Taeyeon,Happy,,,Youtube,Girl Solo,Major
Post,2020-04-29,NCT DREAM,Ridin',라이딘,,Youtube,Boy,Major
,2020-04-29,Bibi,Kazino,사장님 도박은 재미로 하셔야 합니다,Segaji Video,Youtube,Girl Solo,Major
,2020-04-28,HA:TFELT,Life Sucks,,,Youtube,Girl Solo,Major
,2020-04-28,Minseo,No Good Girl,,,Youtube,Girl Solo,Major
,2020-04-28,GWSN,Bazooka!,바주카,ZANYBROS,Youtube,Girl,Major
Post,2020-04-27,Oh My Girl,Nonstop,살짝 설렜어,,Youtube,Girl,Major
,2020-04-27,Chungha,Stay Tonight,,Rigend Film,Youtube,Girl Solo,Major
,2020-04-26,Noir,Lucifer,,,Youtube,Boy,Major
,2020-04-26,HA:TFELT,Solitude,,,Youtube,Girl Solo,Major
,2020-04-26,Ben,Bad,나쁜 놈,,Youtube,Girl Solo,Major
,2020-04-23,HA:TFELT,Satellite,,,Youtube,Girl Solo,Major
,2020-04-23,Solar,Spit it out,뱉어,,Youtube,Girl Solo,Major
,2020-04-23,ZICO X Kang Daniel,Refresh,,,Youtube,Boy,CF
Post,2020-04-22,APRIL,LALALILALA,라라리라라,,Youtube,Girl,Major
,2020-04-22,H&D,Good Night,,,Youtube,Boy,Minor
,2020-04-21,IMFACT,Lie,거짓말이야,,Youtube,Boy,Minor
,2020-04-21,HA:TFELT,Satellite (Feat. ASH ISLAND),,,Youtube,Girl Solo,Major
,2020-04-21,H&D,Soul,,,Youtube,Boy,Major
Post,2020-04-20,GOT7,Not By The Moon,,,Youtube,Boy,Major
,2020-04-20,BVNDIT,Children,,,Youtube,Girl,Minor
,2020-04-18,Zelo,She and Malibu,그녀와는 말리부,,Youtube,Boy Solo,Major
Post,2020-04-17,MONSTA X,YOU CAN'T HOLD MY HEART,,,Youtube,Boy,English
Post,2020-04-14,CRAVITY,Break All The Rules,,HIGHQUALITYFISH,Youtube,Boy,Major
Post,2020-04-13,Apink,Dumhdurum,덤더럼,VIKINGS LEAGUE,Youtube,Girl,Major
,2020-04-13,Girlkind,Future,퓨쳐,,Youtube,Girl,Major
,2020-04-10,KEEMBO,"Thank You, Anyway",,,Youtube,Girl,Major
,2020-04-09,WINNER,Remember,,,Youtube,Boy,Major
,2020-04-09,MCND,Spring,떠,,Youtube,Boy,Major
,2020-04-09,DALsooobin,Dive,다이브,,Youtube,Girl Solo,Major
,2020-04-08,UNVS,Solar Eclipse (feat room102),절대 모를거야,,Youtube,Boy,Major
,2020-04-07,Stella Jang,Villain,빌런,,Youtube,Girl Solo,Major
Post,2020-04-06,(G)I-DLE,Oh My God,오마이갓,Rigend Film,Youtube,Girl,Major
,2020-04-06,MAX Changmin,Chocolate,,,Youtube,Boy Solo,Major
Post,2020-04-05,cignature,ASSA,아싸,,Youtube,Girl,Major
,2020-04-02,Onewe,Q feat Hwasa,모르겠다고,,Youtube,Boy,Major
,2020-04-01,Hong Jinyoung,Love is like a petal,사랑은 꽃잎처럼,,Youtube,Girl Solo,Major
,2020-03-31,CIX,Revival,,,Youtube,Boy,Japanese
,2020-03-30,TOO,Magnolia,매그놀리아,,Youtube,Boy,Major
,2020-03-30,MONSTA X,Wish on the same sky,,,Youtube,Boy,Japanese
,2020-03-30,SUHO (EXO),Let's Love,"사랑, 하자",,Youtube,Boy Solo,Major
,2020-03-26,WINNER,Hold,뜸,Sushivisual,Youtube,Boy,Major
,2020-03-24,Kang Daniel,2U,,,Youtube,Boy Solo,Major
,2020-03-24,Oneus,A Song Written Easily,쉽게 쓰여진 노래,ZANYBROS,Youtube,Boy,Major
,2020-03-23,Seventeen,Fallin' Flower,舞い落ちる花びら,,Youtube,Boy,Japanese
,2020-03-22,Kisum,Primero,1위,,Youtube,Girl Solo,Minor
,2020-03-21,PURPLEBECK,VALENTi,,,Youtube,Girl,Major
,2020-03-20,Daydream,Num Num,,,Youtube,Girl,Major
,2020-03-17,Sejeong (gugudan),Plant,,,Youtube,Girl Solo,Major
,2020-03-15,Hong Eunki,Breath,숨,,Youtube,Boy Solo,Major
,2020-03-13,Eyedi,J.us.t,,,Youtube,Girl Solo,Major
,2020-03-12,AB6IX,Color Eye (Park Woojin),,,Youtube,Boy,Special
,2020-03-11,DONGKIZ,Lupin,,,Youtube,Boy,Major
,2020-03-11,Dreamcatcher,Sahara,,,Youtube,Girl,Special
Post,2020-03-10,Favorite,Lie,또 LIE,,Youtube,Girl,Major
,2020-03-09,Stray Kids,Levanter -Japanese ver.-,,,Youtube,Boy,Japanese
Post,2020-03-09,ITZY,Wannabe,,Naive,Youtube,Girl,Major
,2020-03-08,VICTON,Howling,,,Youtube,Boy,Major
,2020-03-05,BTS,Black Swan,,,Youtube,Boy,Minor
,2020-03-05,NCT 127,Kick It,영웅,Kim 'Oui Kim' Seonguk,Youtube,Boy,Major
,2020-03-04,VIINI,"Love The Moon feat. Suhyun, BLOO",달을 사랑해,,Youtube,Boy Solo,Major
,2020-03-04,Dreamcatcher,Endless Night,,,Youtube,Girl,Japanese
,2020-03-03,CRAXY,Aria,,,Youtube,Girl,Major
,2020-03-01,FTISLAND,Sunrise Yellow,,,Youtube,Boy,Japanese
,2020-02-29,Chungha,Everybody Has,솔직히 지친다,,Youtube,Girl,Special
,2020-02-28,BTS,ON,온,,Youtube,Boy,Major
,2020-02-28,Lim Kim,Mong,,,Youtube,Girl Solo,Major
,2020-02-27,SF9,Good Guy -Japanese ver.-,,,Youtube,Boy,Japanese
,2020-02-27,MCND,Ice Age,,,Youtube,Boy,Major
,2020-02-26,ELRIS,Jackpot,,August Frogs,Youtube,Girl,Major
,2020-02-24,AleXa,A.I Trooper,,,Youtube,Girl Solo,Minor
,2020-02-24,Ravi,ROCKSTAR (Feat. Paloalto),,,Youtube,Boy Solo,Major
,2020-02-23,Spectrum,Showtime,,,Youtube,Boy,Major
,2020-02-22,UNVS,Timeless,,,Youtube,Boy,Major
Post,2020-02-21,BTS,ON (Kinetic Manifesto Film : Come Prima),온,Lumpens,Youtube,Boy,Major
,2020-02-21,ELRIS,This is me (Dance Ver.),,,Youtube,Girl,Minor
,2020-02-21,Moon,Woo,,,Youtube,Girl Solo,Major
,2020-02-21,3YE,Queen,퀸,,Youtube,Girl,Major
Post,2020-02-20,Weki Meki,Dazzle Dazzle,대즐대즐,,Youtube,Girl,Major
,2020-02-20,AB6IX,More (Kim Donghyun),더 더,,Youtube,Boy,Special
,2020-02-18,Dreamcatcher,Scream,,,Youtube,Girl,Major
,2020-02-18,HighSchool,Timing,타이밍,,Youtube,Girl,Major
Post,2020-02-17,IZ*One,Fiesta,,Rigend Film,Youtube,Girl,Major
,2020-02-14,Moonbyul,Eclipse,달이 태양을 가릴 때,,Youtube,Girl Solo,Major
,2020-02-13,AB6IX,Moondance (Jeon Woong),,,Youtube,Boy,Special
,2020-02-12,Sumin+Zion.T,Dirty Love,더럽게,,Youtube,Special,Major
,2020-02-12,BLACK6IX,Call My Name,,,Youtube,Boy,Major
,2020-02-12,KARD,Red Moon,,ZANYBROS,Youtube,Co-ed,Major
,2020-02-11,AlphaBAT,Again,불러본다,,Youtube,Boy,Special
,2020-02-11,Pentagon,Dr. Bebe,Dr. 베베,ZANYBROS,Youtube,Boy,Major
,2020-02-11,Cherry Bullet,Hands Up,무릎을 탁 치고,,Youtube,Girl,Major
Post,2020-02-10,Rocket Punch,Bouncy,바운시,ZANYBROS,Youtube,Girl,Major
,2020-02-09,The Boyz,Reveal,,,Youtube,Boy,Major
,2020-02-08,Sunmi,Gotta Go,가라고,,Youtube,Girl Solo,OST
,2020-02-06,iKON,Dive,뛰어들게,,Youtube,Boy,Major
,2020-02-06,BVNDIT,Cool,,,Youtube,Girl,Special
Post,2020-02-05,Loona,So What,,Digipedi,Youtube,Girl,Major
,2020-02-05,SAAY,Winter feat. WOO,,,Youtube,Girl Solo,Major
,2020-02-04,Mamamoo,HIP -Japanese ver.-,,,Youtube,Girl,Japanese
Post,2020-02-03,cignature,Nun Nu Nan Na,눈누난나,,Youtube,Girl,Major
,2020-02-03,DKB,Sorry Mama,미안해 엄마,,Youtube,Boy,Major
Post,2020-02-03,Everglow,Dun Dun,,,Youtube,Girl,Major
Post,2020-02-03,GFRIEND,Crossroads,교차로,,Youtube,Girl,Major
,2020-02-03,Dreamcatcher,Red Sun,,,Youtube,Girl,Minor
,2020-02-02,Kim Jaehwan,Goodbye,안녕,,Youtube,Boy Solo,Major
,2020-01-30,Yezi,My Gravity,,,Youtube,Girl Solo,Major
,2020-01-29,ATEEZ,Answer (Japanese Ver.),,,Youtube,Boy,Japanese
,2020-01-29,Golden Child,Without You,,ZANYBROS,Youtube,Boy,Major
,2020-01-28,Siyeon (Dreamcatcher),Paradise,,,Youtube,Girl Solo,Special
,2020-01-28,SECHSKIES,All For You,,,Youtube,Boy,Major
,2020-01-28,Super Junior,2YA2YAO!,,,Youtube,Boy,Major
,2020-01-24,Nature,I'm So Pretty (Japanese ver.),,,Youtube,Girl,Japanese
,2020-01-23,"Dynamic Duo, Chen (EXO)",Alone,혼자,,Youtube,Boy,Special
,2020-01-23,Super Junior,I Think I (Japanese ver.),,,Youtube,Boy,Japanese
,2020-01-22,Gavy NJ,I’m in Sinchon,신촌에 왔어,,Youtube,Girl,Major
,2020-01-21,"Paul Kim, Chungha",Loveship,,,Youtube,Co-ed,Special
,2020-01-20,Kiara,Boss,,,Youtube,Girl Solo,Major
,2020-01-17,OnlyOneOf,meSAGE,,,Youtube,Boy,Minor
,2020-01-17,BTS,Black Swan,,,Youtube,Boy,Minor
,2020-01-15,CRAXY,My Universe,,,Youtube,Girl,Minor
,2020-01-15,TVXQ!,Manazashi,,,Youtube,Boy,Japanese
,2020-01-15,Taeyeon,Dear Me,내게 들려주고 싶은 말,,Youtube,Girl Solo,Major
