title,singer,album,producer,distributor,year_month,is_popular,external_factors,num_times_top_10,num_times_top_5,num_times_top_1
#첫사랑,볼빨간사춘기,#첫사랑,"쇼파르뮤직, 딩고뮤직",카카오 M,201801-201802-201803,1,0,1,1,0
#화이트 스타일 (Feat. 김호연 of 달 좋은밤),키썸 (Kisum),Show Off,스케치,카카오 M,201507,0,0,0,0,0
%%(응응),에이핑크 (Apink),PERCENT,플레이엠엔터테인먼트,카카오 M,201901-201902,1,0,0,0,0
00_00 (Zero O`Clock),방탄소년단,MAP OF THE SOUL _ 7,빅히트 엔터테인먼트,Dreamus,202003-202004-202005,1,0,0,0,0
0330,유키스 (U-Kiss),Bran New Kiss (EP),NH EMG,카카오 M,201105,0,0,0,0,0
1 of 1,샤이니 (SHINee),1 of 1 - The 5th Album,SM Entertainment,지니뮤직,201610,1,0,0,0,0
"1,2,3,4 (원,투,쓰리,포)",이하이,"1,2,3,4 (원,투,쓰리,포)",YG Entertainment,지니뮤직,201211-201212,1,0,1,1,1
1-4-3 (I Love You) (Feat. f(Amber)),헨리 (Henry),The 1st Digital Single 1-4-3,SM Entertainment,지니뮤직,201308,0,0,0,0,0
"10,000 Hours","Dan + Shay, Justin Bieber","10,000 Hours",Warner Music,Warner Music,202003,0,0,0,0,0
100%,엠블랙 (MBLAQ),MBLAQ 4th Mini Album `BLAQ%Ver.`,J.Tune Camp,Stone Music Entertainment,201203,0,0,0,0,0
1004 (Angel),B.A.P,First Sensibility,TS엔터테인먼트,카카오 M,201402,1,0,0,0,0
10월의 날씨,10cm,3.1,매직스트로베리사운드,포크라노스,201511,0,0,0,0,0
11_11,태연 (TAEYEON),11_11,SM Entertainment,지니뮤직,201611-201612,1,0,1,1,0
12시 30분,비스트 (Beast),Time,큐브엔터테인먼트,Universal Music,201410-201411-201412,1,0,2,0,0
12월의 기적 (Miracles in December),EXO,겨울 스페셜 앨범 `12월의 기적 (Miracles In Decemb...,SM Entertainment,지니뮤직,201312,1,0,1,1,0
134340,방탄소년단,LOVE YOURSELF 轉 `Tear`,빅히트 엔터테인먼트,Dreamus,201806,0,0,0,0,0
1440,허각,1집 Little Giant,플레이엠엔터테인먼트,Stone Music Entertainment,201302-201303,1,0,1,0,0
160 (Feat. 이수근),은지원,Platonic,지와이엠엔터테인먼트,카카오 M,201002,0,0,0,0,0
180도,벤 (Ben),180˚,메이저나인,지니뮤직,201812-201901-201902-201903-201904-201905,1,0,3,2,0
1cm의 자존심,마마무 (Mamamoo),1cm의 자존심,"RBW, Stone Music Entertainment",Stone Music Entertainment,201602-201603,1,0,0,0,0
1llusion,도끼 (Dok2),1llusion,ILLIONAIRE RECORDS,Stone Music Entertainment,201606,1,0,0,0,0
1도 없어,에이핑크 (Apink),ONE & SIX,플레이엠엔터테인먼트,카카오 M,201807-201808-201809,1,0,2,1,0
1분 1초,김현정,1 Minute 1 Second (Digital Single),푸키엔터테인먼트,카카오 M,201102,0,0,0,0,0
2 Different Tears,원더걸스 (Wonder Girls),2 Different Tears,JYP Entertainment,카카오 M,201005-201006,1,0,2,2,0
2 The Sky,화요비,2 The Sky,라이온미디어,NHN벅스,201106,0,0,0,0,0
200%,악동뮤지션 (AKMU),PLAY,YG Entertainment,지니뮤직,201404-201405,1,0,1,1,1
2002,Anne-Marie,Speak Your Mind (Deluxe),Atlantic Records UK,Warner Music,201904-201905-201906-201907-201908-201909-201910-201911-201912-202001-202002-202003-202004-202005-202006-202007-202008,1,1,4,1,1
21,DEAN,130 mood  TRBL,Joombas Co Ltd & Universal Music,Universal Music,201606,0,0,0,0,0
24/7,EXO,DON`T MESS UP MY TEMPO - The 5th Album,SM Entertainment,Dreamus,201902,0,0,0,0,0
24/7,포미닛 투윤 (2Yoon),Harvest Moon,큐브엔터테인먼트,Universal Music,201302,1,0,0,0,0
24시간,Make Some Noise,PRODUCE 101 - 35 Girls 5 Concepts,Stone Music Entertainment,Stone Music Entertainment,201603-201604,0,0,0,0,0
24시간이 모자라,권진아,SBS K팝 스타 시즌3 TOP8,SBS 콘텐츠허브,카카오 M,201403,0,0,0,0,0
24시간이 모자라,선미,24시간이 모자라,JYP Entertainment,지니뮤직,201308-201309,1,0,0,0,0
24시간후,투빅 (2BiC),24시간후,넥스타엔터테인먼트,카카오 M,201211,0,0,0,0,0
2HOT,지나(G.NA),BLOOM,큐브엔터테인먼트,Universal Music,201205-201206,1,0,1,0,0
30 SEXY,비 (Rain),RAIN EFFECT,큐브디씨,카카오 M,201401,1,0,0,0,0
"3호선 매봉역 (Feat. Paloalto, Beenzino)",프라이머리 (Primary),Primary And The Messengers LP,아메바컬쳐,Stone Music Entertainment,201211,0,0,0,0,0
4 Walls,f(x),4 Walls - The 4th Album,SM Entertainment,지니뮤직,201511,1,0,1,0,0
4AM,아이유 (IU),Last Fantasy,카카오 M,카카오 M,201111,0,0,0,0,0
5월의 밤,자이언티(Zion.T),5월의 밤,The Black Label,YG PLUS,201911,1,0,0,0,0
7 rings,Ariana Grande,7 rings,"Republic Records, a division of UMG Recordings,Inc",Universal Music,201902-201903-201905,1,1,0,0,0
